ph_drop,rrain,interval,emi,final_omegaclc,final_omegaarg,final_sir,final_high_omegaclc,final_high_omegaarg,init_omegaclc,init_omegaarg,init_high_omegaclc,init_high_omegaarg,init_sir
0.2,6,6000,2701.022647892755,3.3172356612133114,1.5314175054917711,80.97697916580951,2.0863951387579007,0.9326975495044582,4.501480170660582,2.0632586211892807,2.8571760706485643,1.2712944312364451,37.45410874123314
0.2,7,6000,2797.169691003165,3.951250093476666,1.823826537269105,62.37023272811857,2.4418205253927923,1.091470282817159,5.350235502360722,2.4520338563892468,3.333515648265318,1.483156058574625,28.928121923212032
0.2,8,6000,2892.542478442167,4.481204361319754,2.0682385397408187,51.734068273765125,2.7357091409502075,1.222760640733148,6.053321936404781,2.7740484189264984,3.7293070167077444,1.6591821642856546,24.035573217456268
0.2,9,6000,2915.4341675685027,4.983918553737037,2.299710603873145,43.90861324757588,3.019758081205224,1.3495125356562554,6.73677738006537,3.086967357438261,4.120938432599479,1.8333205604317393,20.4307522428866
0.2,10,6000,2960.0938656098206,5.485599602104772,2.5308457882633117,37.97807187675368,3.3051118638516503,1.4769017023287374,7.421091910957002,3.4002405373582083,4.520753400059711,2.0110873961187536,17.62542782418301
0.2,11,6000,2875.9327870966313,6.025970310196202,2.7790065550424394,32.641105483503814,3.618015580593765,1.6162837871093962,8.20327411230634,3.758008466480115,4.990864125499938,2.21999854720313,15.062983790819354
0.3,6,6000,4491.059883268512,2.8449571980227457,1.3182085391568719,119.05088380015597,1.7787306010950388,0.7971271164733355,4.501480170660582,2.0632586211892807,2.8571760706485643,1.2712944312364451,37.45410874123314
0.3,7,6000,4665.35630113355,3.395452725652533,1.573094260967322,91.53154683224928,2.088704524949135,0.9359593698519482,5.350235502360722,2.4520338563892468,3.333515648265318,1.483156058574625,28.928121923212032
0.3,8,6000,4791.836043979177,3.8497484454528976,1.7834240489244924,76.01670121565768,2.3398380321824503,1.048440787996531,6.053321936404781,2.7740484189264984,3.7293070167077444,1.6591821642856546,24.035573217456268
0.3,9,6000,4819.355685444754,4.277064210003576,1.980939255169255,64.67354158183323,2.5798266361714304,1.1558047227944652,6.73677738006537,3.086967357438261,4.120938432599479,1.8333205604317393,20.4307522428866
0.3,10,6000,4862.228567293122,4.7087391999010535,2.1804616113688984,55.808969643440776,2.82503001272466,1.265500543128404,7.421091910957002,3.4002405373582083,4.520753400059711,2.0110873961187536,17.62542782418301
0.3,11,6000,4800.29973013299,5.176294469240496,2.3960805623233763,48.01466993462765,3.0935908334825486,1.3854552086453005,8.20327411230634,3.758008466480115,4.990864125499938,2.21999854720313,15.062983790819354
0.4,6,6000,6756.408238326272,2.442266094165274,1.1359880941071325,175.44186623409962,1.5180102543016882,0.6820926460519426,4.501480170660582,2.0632586211892807,2.8571760706485643,1.2712944312364451,37.45410874123314
0.4,7,6000,6905.101816175299,2.9054728705535267,1.3511908635906906,135.10322319081513,1.7788980035236504,0.7992053857287397,5.350235502360722,2.4520338563892468,3.333515648265318,1.483156058574625,28.928121923212032
0.4,8,6000,7090.324189872562,3.302295431534665,1.5356112352721296,111.73999330161591,2.000285624293092,0.8986195513376336,6.053321936404781,2.7740484189264984,3.7293070167077444,1.6591821642856546,24.035573217456268
0.4,9,6000,7154.008312044645,3.6752025637968457,1.708656245046835,94.88363132744846,2.2085072796709824,0.9920195277890211,6.73677738006537,3.086967357438261,4.120938432599479,1.8333205604317393,20.4307522428866
0.4,10,6000,7195.691589300811,4.041887637040411,1.8787816886638626,82.04260404133368,2.4141944931795063,1.084271884414328,7.421091910957002,3.4002405373582083,4.520753400059711,2.0110873961187536,17.62542782418301
0.4,11,6000,7142.493334622242,4.447191805568225,2.0663939698784377,70.4996928385202,2.6447414442614305,1.1875019612321198,8.20327411230634,3.758008466480115,4.990864125499938,2.21999854720313,15.062983790819354
