ph_drop,sclim,age,emi,final_omegaclc,final_omegaarg,final_sir,final_high_omegaclc,final_hihg_omegaarg
0.2,2.0,6000,2871.4249362593873,3.688985587569679,1.6986898632264258,68.17338725430125,2.2844713692730414,1.019522406897348
0.2,2.5,6000,2829.818104335903,3.7341273462974662,1.7215790552102976,67.43105739991194,2.3152910643567535,1.0341067200175056
0.2,3.0,6000,2786.4254022505215,3.783561547309916,1.7464744621305266,66.50518860443813,2.3489671285446203,1.049985201213306
0.2,3.5,6000,2741.3378300246623,3.829888551428902,1.7700492203317422,65.75632547119477,2.3804673747388194,1.064944168446681
0.2,4.0,6000,2695.046581089605,3.877325725354321,1.7941960527122687,64.98005516884983,2.4125860408791198,1.0802111563121395
0.2,4.5,6000,2648.193147870683,3.9247115967636987,1.8183986680107873,64.23464899644978,2.4445985632376543,1.095470400840192
0.2,5.0,6000,2601.155512007436,3.9743588473779616,1.843669303926111,63.405293235940036,2.4780421721124206,1.111386553519973
0.2,5.5,6000,2554.3830600687825,4.019069883548285,1.8669009621662738,62.87191839317691,2.5082654287249433,1.1259692303842908
0.2,6.0,6000,2508.173565089714,4.069353942334945,1.892629632853219,62.08249315561116,2.5421299283839245,1.1421560192281421
0.3,2.0,6000,4726.730842511199,3.1185408448392984,1.4394554827598882,101.7574488129788,1.9213758297742232,0.8588405344243409
0.3,2.5,6000,4661.280929615514,3.1782477964090647,1.469730123331889,99.9123817744941,1.9612333668194888,0.8777388831125643
0.3,3.0,6000,4596.58273498509,3.2368246225135135,1.4996613758599502,98.30247943828051,2.000230830081898,0.8963379383641475
0.3,3.5,6000,4533.168920045073,3.2996916937490868,1.531694696912514,96.47221108663956,2.0420341710687886,0.916254457246173
0.3,4.0,6000,4471.209179480864,3.366356806567266,1.5655982601562726,94.47498981217538,2.0864154175833214,0.9373853361639923
0.3,4.5,6000,4409.975258758013,3.4284826642511073,1.597679296428619,92.99584115520946,2.1280720286630816,0.9574254845736117
0.3,5.0,6000,4347.813103926073,3.4959781177390563,1.6323209343216372,91.19209879042431,2.173615706607293,0.9792530270257691
0.3,5.5,6000,4282.552184780436,3.5608263359792214,1.6659824229738476,89.69567011428026,2.217687157730617,1.0005397429051002
0.3,6.0,6000,4213.4759836319345,3.6250434760028116,1.6995595283845228,88.3347868275127,2.261075916265584,1.0216233507151338
0.4,2.0,6000,7002.640108709307,2.6394988264135457,1.221269145760399,151.40469283709493,1.6150047093999467,0.7230642189267528
0.4,2.5,6000,6913.186740409133,2.70696448232867,1.2556280916212277,147.7751968361086,1.6601392638034556,0.7445344402779612
0.4,3.0,6000,6826.4295818572355,2.776429503225759,1.2911445896908966,144.2277510094454,1.706827213526902,0.7668149569061773
0.4,3.5,6000,6741.19101979744,2.844909595441943,1.3264954262502353,141.1913083712256,1.7531009477233395,0.7890503908104899
0.4,4.0,6000,6654.252900264001,2.915325134438771,1.3630043035685486,138.20309103550696,1.8005588113626356,0.8119469538147593
0.4,4.5,6000,6566.305798404947,2.9913793493925276,1.4023174511435887,134.75842894352536,1.8511988225415825,0.8363707204211561
0.4,5.0,6000,6479.411940404302,3.06702970036468,1.4417747836482544,131.7428373487084,1.901317075433416,0.8607217027295816
0.4,5.5,6000,6394.408419353523,3.145244626450444,1.482680621688344,128.69152604150844,1.9536314119998184,0.8861931674082525
0.4,6.0,6000,6310.277926448628,3.2281332614159854,1.5260346390587072,125.47127379531834,2.008264164593028,0.9128435211492852
