ph_drop,interval_length,emi,final_omegaclc,final_omegaarg,final_sir,final_high_omegaclc,final_high_omegaarg,init_omegaclc,init_omegaarg,init_high_omegaclc,init_high_omegaarg,init_sir
0.05,200,351.77295930198875,4.693892785849634,2.1545908263742017,37.865090356199616,2.9368789070116357,1.3079786830003697,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,500,384.6935837726015,4.711206995540941,2.1626436083795366,37.633025724767585,2.945535706019954,1.3118758878467276,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,1000,423.21475939096166,4.717551184641867,2.1656823406359202,37.58764220552358,2.9481400343151853,1.3130864720378208,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,3000,507.69995020725105,4.727534605423568,2.170347842169245,37.54925980466044,2.9533372787198697,1.3154357545233757,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,6000,596.4447423279013,4.74710336727498,2.1794544900928896,37.41095322081996,2.9640255388053673,1.3202440750751812,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,10000,695.5751833621252,4.770845597921733,2.190529601654818,37.265730798292886,2.9774797901920134,1.3263047818619635,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,20000,899.9937026969759,4.826895826140945,2.216559700826245,36.839377989399615,3.0103713117111153,1.341070703626198,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,50000,1342.3968187160146,4.932456840324456,2.2641328463111168,35.9477961694168,3.077074845703617,1.3705501449333903,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,100000,1750.0519667944955,4.996027317077564,2.2920476826295846,35.25288913034092,3.120113077731898,1.3892352420123242,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.05,200000,2152.5953125711703,5.04267293814584,2.3126077176006112,34.771660165440274,3.1518497426072427,1.4029593757540053,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,200,742.6794916455455,4.305989765570478,1.979566142810243,46.30830330105941,2.69206831806423,1.2001379592100143,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,500,809.4106657256817,4.320441223037351,1.9865565885878087,46.16724494617188,2.6974152154379376,1.2026605636894567,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,1000,883.1434402354139,4.334695661358613,1.9932579520373694,45.97567239378551,2.7049706067354413,1.206081404109239,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,3000,1063.8601434819143,4.361250573370266,2.005630457104283,45.717441244369745,2.7201776571718423,1.2129296250185302,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,6000,1256.0946796317849,4.401479215145727,2.024365157913925,45.32039492662967,2.7428955653582556,1.223151830082004,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,10000,1460.144011960343,4.449800385604205,2.046838189284806,44.82885936197813,2.770020976855398,1.235345658209773,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,20000,1858.8141205311404,4.544904517863378,2.091135054793676,43.94312656733962,2.8251188568819794,1.2601332312782565,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,50000,2798.8699286410097,4.741792855333722,2.1801071335748285,41.875132269259005,2.948675517973304,1.3148235314120482,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,100000,3676.4134982902888,4.866416040233567,2.235083405999923,40.26639375368331,3.0323596499860943,1.3511499292851212,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.1,200000,4560.451904303608,4.959776304037791,2.276178941980239,39.122091701120986,3.095536180468082,1.37856920480478,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.15,200,1176.4234891616275,3.9456749707710888,1.8167790187206443,56.75805457038112,2.463788884925195,1.0994875807675384,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.15,500,1279.7054789769104,3.9621452325566455,1.8248376130503448,56.57890826773843,2.470306986885941,1.1025894054940262,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.15,1000,1393.526629274734,3.978537218325069,1.8325526546123194,56.31720801730197,2.479435947270432,1.1067311587140993,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.15,3000,1680.166912717027,4.020371216862104,1.8521182821902122,55.75732913795187,2.505020743823375,1.1182749540524157,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.15,6000,1987.6963161174565,4.082768708439019,1.8811552842544912,54.85387449220256,2.539997502536205,1.1340050878021928,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
0.15,10000,2279.669044081885,4.140316300771243,1.9080356777767824,54.18154198746431,2.5704589222552015,1.1477492048796964,5.119166246324791,2.3461961045888513,3.2038549438008315,1.4254876950406166,30.903993733792245
